"type","handle","platform","name","tier","followers","audience","contact","contactMethod","source","sourceAgency","er","posts","rate","avgViews","avgGmv","gpm","retention","fee","commission","paymentTerms","proofLink","adCode","notes","stage"
"ugc","@Iamhermankeh","Instagram","Herman Keh","Macro (Artiste)","241K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting. Platform assumed Instagram, no profile URL in source. Source also shows 16.3K followers for this handle -- conflicts with 241K, verify.","sourced"
"ugc","@Yangkuangkele","Instagram","Yangguang Ke Le","Micro (Artiste)","68K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting. Platform assumed Instagram, no profile URL in source. Source also shows handle @yangguangkele3883 at 42K followers -- possible alternate handle, verify.","sourced"
"ugc","@germaineleonora","Instagram","Germaine","Micro (Artiste)","26K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting. Platform assumed Instagram, no profile URL in source.","sourced"
"ugc","@hazelleteo","Instagram","Hazelle Teo","Micro (Artiste)","68K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting. Platform assumed Instagram, no profile URL in source. Source also shows handle @heyhihazelle at 68K followers -- possible alternate handle for the same person, verify.","sourced"
"ugc","@desmondngzl","Instagram","Desmond Ng","Micro (Artiste)","45.5K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting. Platform assumed Instagram, no profile URL in source.","sourced"
"ugc","@richiekrq","Instagram","Richie Koh","Micro (Artiste)","55.3K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting. Platform assumed Instagram, no profile URL in source.","sourced"
"ugc","@tylertennn","Instagram","Tyler Ten","Micro (Artiste)","16.8K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting. Platform assumed Instagram, no profile URL in source.","sourced"
"ugc","@iamtiffanie","Instagram","Tiffanie","Macro (Artiste)","225K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting. Source rows list this name against @iammichy and 'Michy' against @iamtiffanie -- corrected here since each handle's text matches the other row's name; verify directly.","sourced"
"ugc","@iammichy","Instagram","Michy","Macro (Artiste)","229K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting. See Tiffanie's note -- handle/name pairing corrected from source, verify directly.","sourced"
"ugc","@skyearthy","Instagram","Allison","Nano (Artiste)","1372","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@simplyshow","Instagram","Angelyn","Nano (Artiste)","6471","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@benyeo23","Instagram","Ben Yeo","Micro (Artiste)","92K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@thedesmondtan","Instagram","Desmond Tan","Macro (Artiste)","231K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@elvinngchoonsiong","Instagram","Elvin Ng","Macro (Artiste)","319K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@edwinsiu","Instagram","Edwin","Macro (Artiste)","429K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@zetongteoh","Instagram","Zhang Ze Tong","Micro (Artiste)","28K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@bentanzx","Instagram","Benjamin Tan","Micro (Artiste)","72K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@aydenzs","Instagram","Ayden Sng","Macro (Artiste)","114K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting. Source also shows 109K followers for this handle.","sourced"
"ugc","@nickk_teo","Instagram","Nick Teo","Micro (Artiste)","61K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@chantalleng","Instagram","Chantalle","Macro (Artiste)","106K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@paigechua_","Instagram","Paige Chua","Macro (Artiste)","128K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting. Source also shows handle @paigechua_tpc with the same followers/rate -- possible renamed handle, verify.","sourced"
