type,handle,platform,name,tier,followers,audience,contact,contactMethod,source,sourceAgency,creatorClass,recentBrandPosts,er,posts,rate,avgViews,avgGmv,gpm,retention,fee,commission,paymentTerms,proofLink,adCode,notes,stage
ugc,@chloeabeth454,Instagram,Chloe,Mega,1.2m,"Beauty, Fashion, Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@alex.d.libin,Instagram,Alex,Macro,985k,"Sports, Others",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@amandersings,Instagram,Amander,Macro,133k,"Mum, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@beverlyloh,Instagram,Beverly Loh,Macro,168k,"KOL, Lifestyle, Beauty, Fashion",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@doujiang.youtiao,Instagram,Boonkikikiki,Macro,143.6k,"Beauty, Fashion, Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],contacted
ugc,@caitofalltraits,Instagram,Caitanya Tan,Macro,238k,"Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@cherb8ar,Instagram,Cheryl,Macro,129k,,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@debxrahkwek,Instagram,Deborah,Macro,107k,"Lifestyle, KOL, Family, Mum",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@dewychoo,Instagram,Dewy,Macro,186k,"Beauty, Lifestyle, Fashion, KOL",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@dianaserlye,Instagram,Diana,Macro,118k,"Beauty, Fashion, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@elizabethboon,Instagram,Elizabeth,Macro,332k,,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@myfunfoodiary,Instagram,Fun Food Diary,Macro,129k,"Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@gabriellaglady,Instagram,Gabrielle,Macro,185k,,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@graceglazee,Instagram,Grace Glaze,Macro,252k,"KOL, Mum, Lifestyle, Beauty, Fashion",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@huinileee,Instagram,Hayley,Macro,106k,"Lifestyle, Fashion, Beauty, KOL",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@karaysabella,Instagram,Karaysabella,Macro,241.9k,"Beauty, Fashion, Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@yankaykay,Instagram,Kaykay,Macro,107k,"Fashion, Family, Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],sourced
ugc,@kimbolitham,Instagram,Kimberly,Macro,110k,"UGC, KOL",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@mathildaaaa,Instagram,Mathilda,Macro,111k,"Beauty, Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
