type,handle,platform,name,tier,followers,audience,contact,contactMethod,source,sourceAgency,creatorClass,recentBrandPosts,er,posts,rate,avgViews,avgGmv,gpm,retention,fee,commission,paymentTerms,proofLink,adCode,notes,stage
ugc,@883shihan,Instagram,Charlene,Nano,1576,"Beauty, Lifestyle, Mum, Others",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,
ugc,@883shuhui,Instagram,Shuhui,Nano,2469,"Mum, Others, Family",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,
ugc,@karin.yanjie,Instagram,Karin,Nano,3019,"Mum, Family, Lifestyle, Others",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,
ugc,@fayce_mummyfay,Instagram,Fay,Nano,4224,"Beauty, Lifestyle, Mum, UGC",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,
ugc,@gladysheng12,Instagram,Gladys,Nano,4881,"Lifestyle, UGC, Mum, Family",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@juuyeow,Instagram,Juliana,Nano,5217,"Others, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@loveeveryday,Instagram,Billie,Nano,5935,"UGC, Mum, Lifestyle, Family",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@clara.slays,Instagram,Clara,Nano,6953,"KOL, Beauty, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,declined
ugc,@yvonnechanofficial,Instagram,Yvonne,Nano,7126,"UGC, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@clarechanwm,Instagram,Clare,Nano,7167,"Mum, KOL, Fashion",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@huinileee,Instagram,Hayley,Macro,106k,"Lifestyle, Fashion, Beauty, KOL",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@hxinjie,Instagram,Xinjie,Nano,1266,"UGC, Beauty, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@priscilla.ugcsg,Instagram,Priscilla,Nano,2912,"Beauty, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@e_forelainee,Instagram,Elaine,Nano,3386,"Fashion, Mum, UGC",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: SK
Response: counter proposed Dorra",declined
ugc,@winterchee,Instagram,Winter,Nano,4877,"Beauty, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: SK
Response: dorra customer",contacted
